"Straits Quay Marina (George Town)",5.45832,100.314,6
"Atabay Boatyard (Gebze)",40.7688,29.4276,5
"Kiato (Neápolis)",38.0111,22.7536,5
"Carnon (Carnon-Plage)",43.5438,3.97167,5
"Port Ariane (Palavas-les-Flots)",43.5722,3.89875,5
"Vrakhati (Vrakhátion)",37.9645,22.8091,5
"Aydinli (Istanbul)",40.8717,29.236,5
"Ataköy Marina (Istanbul)",40.9722,28.8785,5
"La Grande Motte (La Grande-Motte)",43.5533,4.08039,5
"Corinth Harbour (Corinth)",37.9409,22.9363,5
"Koper (Capodistria) (Izola)",45.5481,13.7226,5
"Kalamis and FenerbaçheMarina (Istanbul)",40.9768,29.0358,5
"Grau du Roi (Le Grau-du-Roi)",43.538,4.13824,5
"Aigues Mortes (La Grande Motte)",43.5662,4.18661,5
"Port Camargue (Le Grau-du-Roi)",43.5206,4.12211,5
"Port of Singapore (Kampong Kopit)",1.26649,103.833,5
"Levent Marina. (Balçova)",38.4063,27.0691,5
"Sigaçik (Seferihisar)",38.1943,26.7832,5
"Setur Kusadasi Marina (Kusadasi)",37.8691,27.261,5
"D-marin Turgutreis Marina (Bodrum)",36.9991,27.2553,5
"Martigues (Martigues)",43.4052,5.05017,5
"Port de Carro (Carro)",43.3299,5.04161,5
"Kuching (Pangkalan Batu)",1.56083,110.342,5
"Sausset les Pins (Sausset-les-Pins)",43.3293,5.10843,5
"Club Náutico Cala Ratjada (Cala Ratjada)",39.7105,3.46307,5
"Limmín Salamis (Piraeus)",37.9617,23.4951,5
"Puerto de Cala Bona (Son Servera)",39.6133,3.39333,5
"Club Náutico de Porto Cristo (Porto Cristo)",39.5402,3.33632,5
"Mounikhías (Piraeus)",37.9368,23.6616,5
"Club Náutico Porto Colom (Felanitx)",39.424,3.26234,5
"Puerto Deportivo Marina de Cala d´Or (Cala d'Or)",39.3691,3.22691,6
"Reial Club Nàutic Porto Petro (Santanyí)",39.3607,3.21135,5
"Flisvos  Marina (Athens)",37.935,23.6796,5
"Bolinao (Bolinao)",16.3885,119.905,5
"Tokushima Port (Tokushima-shi)",34.054,134.579,5
"Puerto de Cala Figuera de Santanyí (Santanyí)",39.33,3.17833,5
"Puerto Colònia de Sant Jordi (Colònia de Sant Jord",39.3167,3,5
"Várkiza (Vouliagméni)",37.8165,23.8031,5
"Club Náutico Sa Rápita (Campos)",39.36,2.95167,5
"Club Náutico S´Estanyol (s'Estanyol)",39.3599,2.91951,5
"Baska Voda (Baska Voda)",43.3569,16.9474,5
"Club Náutico El Arenal (s'Arenal)",39.5025,2.74744,5
"Ko Si Chang (Ko Si Chang)",13.1624,100.811,5
"Club Marítimo San Antonio de la Playa (Palma de Ma",39.5322,2.71563,5
"Club Náutico Cala Gamba (Palma de Mallorca)",39.5466,2.69514,5
"Club Marítimo Molinar de Levante (Palma de Mallorc",39.5578,2.67484,5
"Gansbaai Harbour (Gansbaai)",-34.5835,19.344,5
"Marina Services (Manly)",-27.4554,153.187,5
"Club Náutico Portixol (Palma de Mallorca)",39.5588,2.66871,5
"Marina Mahón (Menorca)",39.8882,4.27671,5
"Port de Maó (Menorca)",39.8667,4.3,5
"Marina Izola (Izola)",45.5368,13.6538,5
"Alanya Marina (Alanya)",36.5394,32.0011,6
"Aigina Marina (Piraeus)",37.7445,23.4265,5
"Club Deportivo Cala´n Bosch (Menorca)",39.9276,3.8338,5
"Perdika (Piraeus)",37.691,23.4512,5
"Portoroz (Portoroz)",45.5054,13.5947,5
"Club Náutico de Ciutadella (Menorca)",39.9989,3.82932,5
"Port de Ciutadella (Menorca)",40.001,3.83324,5
"Vibo Valentia Marina Stella del Sud (Vibo Valentia",38.7175,16.1291,6
"Club Nàutic Fornells (Menorca)",40.0442,4.12667,5
"Port de Fornells (Menorca)",40.0543,4.13144,5
"Club Náutico de Addaya (Menorca)",40.0167,4.2,5
"Angistri (Piraeus)",37.7134,23.3477,5
"Póros (Piraeus)",37.4966,23.4519,5
"Aci Marina Umag (Umag)",45.438,13.5151,5
"Ermióni Harbour (Ermióni)",37.3865,23.2495,5
"Limin ídhras (Piraeus)",37.351,23.4665,5
"Carry le Rouet (Carry-le-Rouet)",43.3286,5.15265,5
"Sibu and Batang Rajang (Sibu)",2.29125,111.817,5
"Port de la Lave (Marseille)",43.3594,5.30056,5
"Sebana Marina Resort (Pengerang)",1.41369,104.161,5
"Nautica Novigrad Marina (Novigrad)",45.3185,13.5618,5
"Ports de Estaque (Marseille)",43.3586,5.31344,5
"Marseille Vieux Port (Marseille)",43.2941,5.36287,5
"Cervar Porat Marina (Crvar)",45.2763,13.5982,5
"Le Frioul (Marseille)",43.2781,5.3097,5
"Mersing (Mersing)",2.43536,103.849,5
"Porec Marina (Pore?)",45.225,13.5945,5
"La Pointe Rouge (Marseille)",43.2457,5.36425,5
"Parentium Marina (Pore?)",45.2058,13.5893,5
"Casis (Cassis)",43.2138,5.53487,5
"Kuantan (Kuantan)",3.96868,103.44,5
